BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	dl580	result_ycsb_1452552298	2016/01/11:14:44:58	hash	10000000	true	0	50	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	1.6762933333333334	0.004760338456690072	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552298	2016/01/11:14:44:58	masstree	10000000	true	0	50	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	0.19722499999999998	0.0112179303201024	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552503	2016/01/11:14:48:23	hash	10000000	true	0	100	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	2.1278366666666666	0.027371995827072622	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552503	2016/01/11:14:48:23	masstree	10000000	true	0	100	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	0.38104200000000005	0.07264833070805297	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552693	2016/01/11:14:51:33	hash	10000000	true	0	1000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	3.0480899999999997	0.5981245696898508	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552693	2016/01/11:14:51:33	masstree	10000000	true	0	1000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	2.4674133333333335	0.1902809239577672	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552892	2016/01/11:14:54:52	hash	10000000	true	0	10000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	4.769363333333334	1.89402421176593	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452552892	2016/01/11:14:54:52	masstree	10000000	true	0	10000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	3.96162	0.8922018241407051	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452553091	2016/01/11:14:58:11	hash	10000000	true	0	100000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	6.737583333333333	0.5947644497520759	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452553091	2016/01/11:14:58:11	masstree	10000000	true	0	100000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	5.57811	0.24113446262752952	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452553281	2016/01/11:15:01:21	hash	10000000	true	0	1000000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	5.172516666666667	0.32484291653386	0	0.0
ycsb	workloadF	dl580	result_ycsb_1452553281	2016/01/11:15:01:21	masstree	10000000	true	0	1000000	512	1	1000	true	4	0	0	0	1	0	10	1	1	0	14	0	16	F	0	0	3	0	4.255743333333334	0.07041737017396729	0	0.0
