BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	z820	result_ycsb_1452553530	2016/01/11:15:05:30	hash	10000000	true	0	50	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	1.9699900000000001	0.003470917265737333	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553530	2016/01/11:15:05:30	masstree	10000000	true	0	50	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	0.4681673333333333	0.04386802305653782	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553647	2016/01/11:15:07:27	hash	10000000	true	0	100	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.4701766666666667	0.002707549117382636	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553647	2016/01/11:15:07:27	masstree	10000000	true	0	100	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	0.9418743333333333	0.05839021324579234	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553767	2016/01/11:15:09:27	hash	10000000	true	0	1000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	3.02918	0.01159003019839681	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553767	2016/01/11:15:09:27	masstree	10000000	true	0	1000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.463556666666667	0.009112351812558518	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553885	2016/01/11:15:11:25	hash	10000000	true	0	10000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	3.36261	0.005959513402847576	0	0.0
ycsb	workloadF	z820	result_ycsb_1452553885	2016/01/11:15:11:25	masstree	10000000	true	0	10000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.8467066666666665	0.0025395843934374967	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554006	2016/01/11:15:13:26	hash	10000000	true	0	100000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.691333333333333	0.004586882262373245	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554006	2016/01/11:15:13:26	masstree	10000000	true	0	100000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.71151	0.006091157525487678	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554126	2016/01/11:15:15:26	hash	10000000	true	0	1000000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.2788633333333332	0.0053555537113820885	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554126	2016/01/11:15:15:26	masstree	10000000	true	0	1000000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	1.8123799999999999	0.024328346977702326	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554250	2016/01/11:15:17:30	hash	10000000	true	5	50	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.438303333333334	0.04802531161328271	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554250	2016/01/11:15:17:30	masstree	10000000	true	5	50	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	6.0290333333333335	0.024107913408068078	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554370	2016/01/11:15:19:30	hash	10000000	true	5	100	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.768619999999999	0.04843743799996468	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554370	2016/01/11:15:19:30	masstree	10000000	true	5	100	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	6.233743333333333	0.013845048051917762	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554491	2016/01/11:15:21:31	hash	10000000	true	5	1000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.4178	0.010471832059240755	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554491	2016/01/11:15:21:31	masstree	10000000	true	5	1000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.976123333333334	0.015638692045205797	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554611	2016/01/11:15:23:31	hash	10000000	true	5	10000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.24615	0.021772399959501906	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554611	2016/01/11:15:23:31	masstree	10000000	true	5	10000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.041953333333333	0.005838380673776953	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554732	2016/01/11:15:25:32	hash	10000000	true	5	100000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	3.1469833333333335	0.0016808199055314854	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554732	2016/01/11:15:25:32	masstree	10000000	true	5	100000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	4.161560000000001	0.035397562062856804	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554853	2016/01/11:15:27:33	hash	10000000	true	5	1000000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.4931900000000002	0.00419347906468528	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554853	2016/01/11:15:27:33	masstree	10000000	true	5	1000000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	2.0350966666666666	0.03057294810049026	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554977	2016/01/11:15:29:37	hash	10000000	true	256	50	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.360916666666665	0.1079561445938297	0	0.0
ycsb	workloadF	z820	result_ycsb_1452554977	2016/01/11:15:29:37	masstree	10000000	true	256	50	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.9636466666666665	0.04110885576389914	0	0.0
ycsb	workloadF	z820	result_ycsb_1452555099	2016/01/11:15:31:39	hash	10000000	true	256	100	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.76115	0.053596604992045334	0	0.0
ycsb	workloadF	z820	result_ycsb_1452555099	2016/01/11:15:31:39	masstree	10000000	true	256	100	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	6.105536666666666	0.21636461360915007	0	0.0
ycsb	workloadF	z820	result_ycsb_1452555217	2016/01/11:15:33:37	hash	10000000	true	256	1000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.4282233333333325	0.006962783607105504	0	0.0
ycsb	workloadF	z820	result_ycsb_1452555217	2016/01/11:15:33:37	masstree	10000000	true	256	1000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.9229433333333334	0.049027971154708555	0	0.0
ycsb	workloadF	z820	result_ycsb_1452555337	2016/01/11:15:35:37	hash	10000000	true	256	10000	512	1	1000	true	2	0	0	0	1	0	10	1	1	0	6	0	12	F	0	0	3	0	5.2778366666666665	0.014824408551081551	0	0.0
