RUN_TYPE	TABLESIZE	RMWS	READS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
4	100	10	0	48	2016/02/29:22:18:51	479	2.3539675404255322E-4	2067050.6553191487
4	100	9	1	48	2016/02/29:22:19:22	480	1.9999562000000004E-5	1329704.5200000003
4	100	0	10	48	2016/02/29:22:24:00	477	1.3330036085106385	0.0
4	100	8	2	48	2016/02/29:22:19:52	479	2.1190856885106377E-4	1844527.1489361702
4	100	7	3	48	2016/02/29:22:20:24	477	3.8806272000000005E-5	971700.7251063832
4	100	6	4	48	2016/02/29:22:20:55	479	2.2109708425531915E-4	1222660.7285106382
4	100	5	5	48	2016/02/29:22:21:26	478	5.724048612765959E-4	1104826.4068085104
4	100	4	6	48	2016/02/29:22:21:57	479	0.001855092970212766	1026847.3123404256
4	100	3	7	48	2016/02/29:22:22:27	478	0.00735803029787234	922001.790638298
4	100	2	8	48	2016/02/29:22:22:58	478	0.031282184170212765	805335.3497872342
4	100	1	9	48	2016/02/29:22:23:29	479	0.14419422638297869	563232.96
4	1000	10	0	48	2016/02/29:22:24:31	479	0.4876478604255319	1493385.947234042
4	1000	9	1	48	2016/02/29:22:25:01	480	0.48641118	1463060.4200000002
4	1000	0	10	48	2016/02/29:22:29:49	477	4.2285180255319155	0.0
4	1000	8	2	48	2016/02/29:22:25:32	477	0.48847434893617014	1326958.9072340424
4	1000	7	3	48	2016/02/29:22:26:03	478	0.5090955982978722	1190115.1863829782
4	1000	6	4	48	2016/02/29:22:26:34	478	0.5592294127659575	1048260.949787234
4	1000	5	5	48	2016/02/29:22:27:05	479	0.6471918638297873	909157.0212765958
4	1000	4	6	48	2016/02/29:22:27:36	478	0.8065026382978724	737311.4757446807
4	1000	3	7	48	2016/02/29:22:28:07	480	1.1083282000000003	535887.15
4	1000	2	8	48	2016/02/29:22:28:36	432	1.7311025860465115	273026.08744186047
4	1000	1	9	48	2016/02/29:22:29:10	288	2.9792998285714285	45105.15257142858
4	10000	10	0	48	2016/02/29:22:30:14	288	4.131137657142858	29827.583828571424
4	10000	9	1	48	2016/02/29:22:30:47	288	4.184011371428571	27723.35725714285
4	10000	0	10	48	2016/02/29:22:35:50	479	5.435189514893617	0.0
4	10000	8	2	48	2016/02/29:22:31:20	288	4.228311085714286	27390.760628571417
4	10000	7	3	48	2016/02/29:22:31:52	288	4.310355085714286	19195.634399999995
4	10000	6	4	48	2016/02/29:22:32:26	288	4.397684742857143	14937.375257142856
4	10000	5	5	48	2016/02/29:22:33:01	336	4.501797818181817	10770.145309090909
4	10000	4	6	48	2016/02/29:22:33:38	381	4.7412904421052655	8606.493852631575
4	10000	3	7	48	2016/02/29:22:34:18	479	4.78430410212766	5687.988234893615
4	10000	2	8	48	2016/02/29:22:34:49	478	5.103994927659576	3077.099530212766
4	10000	1	9	48	2016/02/29:22:35:19	478	5.263954621276595	1149.4431074042554
4	100000	10	0	48	2016/02/29:22:36:21	479	4.98380129361702	2298.377335148936
4	100000	9	1	48	2016/02/29:22:36:52	477	5.046864	2340.7395982978724
4	100000	0	10	48	2016/02/29:22:41:29	478	5.80304885106383	0.0
4	100000	8	2	48	2016/02/29:22:37:22	479	5.012709651063829	1907.2301259574474
