RUN_TYPE	TABLESIZE	RMWS	READS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
4	100	10	0	230	2016/02/29:22:22:32	2299	0.0	2516120.9362445413
4	100	9	1	230	2016/02/29:22:23:07	2298	0.0	1974379.4786026203
4	100	0	10	230	2016/02/29:22:28:18	2294	0.24905183807860262	0.0
4	100	8	2	230	2016/02/29:22:23:42	2298	0.0	1537290.0497816594
4	100	7	3	230	2016/02/29:22:24:16	2298	0.0	1291207.184279476
4	100	6	4	230	2016/02/29:22:24:51	2299	0.0	940490.8074672483
4	100	5	5	230	2016/02/29:22:25:25	2299	3.5145265502183413E-6	811558.862794759
4	100	4	6	230	2016/02/29:22:26:00	2298	5.021362008733624E-7	732201.6062445412
4	100	3	7	230	2016/02/29:22:26:35	2299	1.5053600436681225E-6	645256.1213973792
4	100	2	8	230	2016/02/29:22:27:09	2297	1.0692042039301307E-4	488455.33384279464
4	100	1	9	230	2016/02/29:22:27:43	2299	0.008657460934497816	458593.0789519652
4	1000	10	0	230	2016/02/29:22:28:52	2298	0.012315276781659395	2855070.9820960686
4	1000	9	1	230	2016/02/29:22:29:27	2299	0.009618243550218338	2842889.9812227082
4	1000	0	10	230	2016/02/29:22:34:36	2297	1.3274438248908305	0.0
4	1000	8	2	230	2016/02/29:22:30:01	2300	0.010016038100000003	2506233.420000002
4	1000	7	3	230	2016/02/29:22:30:35	2298	0.009475915633187774	2130014.6432314403
4	1000	6	4	230	2016/02/29:22:31:10	2297	0.010296613082969438	1949154.3641921398
4	1000	5	5	230	2016/02/29:22:31:44	2299	0.012885239580786023	1731009.7995633178
4	1000	4	6	230	2016/02/29:22:32:19	2296	0.0219570596768559	1534550.5689956336
4	1000	3	7	230	2016/02/29:22:32:54	2297	0.03526750397379912	1388111.3587772923
4	1000	2	8	230	2016/02/29:22:33:28	2298	0.07594287943231447	1084303.4407860262
4	1000	1	9	230	2016/02/29:22:34:02	2299	0.23474346576419214	652928.1249344978
4	10000	10	0	230	2016/02/29:22:35:11	2298	0.899912272052402	877113.1865938861
4	10000	9	1	230	2016/02/29:22:35:45	2298	0.8957645384279472	835321.1762008733
4	10000	0	10	230	2016/02/29:22:40:52	2300	2.7213070999999975	0.0
4	10000	8	2	230	2016/02/29:22:36:19	2298	0.8688427873362443	776397.692139738
4	10000	7	3	230	2016/02/29:22:36:53	2298	0.9515867034934502	672639.2565065506
4	10000	6	4	230	2016/02/29:22:37:27	2297	1.0484654655021843	537279.9979912657
4	10000	5	5	230	2016/02/29:22:38:02	2299	1.2183704327510914	417002.434262009
4	10000	4	6	230	2016/02/29:22:38:36	2299	1.6106997825327511	218497.39396943242
4	10000	3	7	230	2016/02/29:22:39:10	2298	2.2783124262008743	52427.339554585196
4	10000	2	8	230	2016/02/29:22:39:44	2298	2.3227047864628823	16546.452477729246
4	10000	1	9	230	2016/02/29:22:40:18	2298	2.7493979039301295	1525.0829875982536
4	100000	10	0	230	2016/02/29:22:41:27	2300	2.7456129999999996	9843.212339000009
4	100000	9	1	230	2016/02/29:22:42:01	2300	2.7059317	4594.405270999997
4	100000	0	10	230	2016/02/29:22:47:10	2300	2.9551822	0.0
4	100000	8	2	230	2016/02/29:22:42:36	2300	2.8003347	3707.4349540000003
4	100000	7	3	230	2016/02/29:22:43:10	2298	2.804667305676856	1228.708352227074
4	100000	6	4	230	2016/02/29:22:43:44	2299	3.056401000000002	966.1762603493451
4	100000	5	5	230	2016/02/29:22:44:18	2299	2.907151689956332	14571.991261746733
4	100000	4	6	230	2016/02/29:22:44:52	2297	2.8371540524017456	8148.20455633188
4	100000	3	7	230	2016/02/29:22:45:27	2299	3.181673462882098	2155.952242401747
4	100000	2	8	230	2016/02/29:22:46:01	2300	3.0278569999999974	1566.4684589999997
4	100000	1	9	230	2016/02/29:22:46:36	2300	3.0573810999999966	325.98088600000005
4	1000000	10	0	230	2016/02/29:22:47:43	2300	3.0877809000000007	1158.9697829999993
4	1000000	9	1	230	2016/02/29:22:48:18	2300	2.9224335000000004	238.495274
4	1000000	0	10	230	2016/02/29:22:53:30	2299	2.927452152838429	0.0
4	1000000	8	2	230	2016/02/29:22:48:53	2300	2.991683799999998	132.99753999999993
4	1000000	7	3	230	2016/02/29:22:49:28	2300	2.875630599999999	95.49736399999999
4	1000000	6	4	230	2016/02/29:22:50:03	2299	3.077983235807861	141.10669135371174
4	1000000	5	5	230	2016/02/29:22:50:37	2300	2.9784949999999997	648.9811930000003
4	1000000	4	6	230	2016/02/29:22:51:12	2299	3.222331034934498	35.65411790393014
4	1000000	3	7	230	2016/02/29:22:51:46	2300	2.5245261799999987	102.998419
4	1000000	2	8	230	2016/02/29:22:52:21	2299	3.0294321441048027	13.056455196506553
4	1000000	1	9	230	2016/02/29:22:52:55	2300	3.297345200000001	6.999839000000001
4	50	10	0	230	2016/02/29:22:16:13	2297	0.0	1762703.5123144097
4	50	9	1	230	2016/02/29:22:16:48	2299	0.0	1479069.8786026195
4	50	0	10	230	2016/02/29:22:21:57	2296	0.11506882524017466	0.0
4	50	8	2	230	2016/02/29:22:17:22	2297	0.0	1041016.3681222707
4	50	7	3	230	2016/02/29:22:17:57	2299	0.0	808984.9980786024
4	50	6	4	230	2016/02/29:22:18:31	2298	0.0	634486.7841921399
4	50	5	5	230	2016/02/29:22:19:06	2298	0.0	566425.677336244
4	50	4	6	230	2016/02/29:22:19:40	2298	1.0001655458515284E-6	456457.3551965064
4	50	3	7	230	2016/02/29:22:20:15	2298	0.0	399939.6962445415
4	50	2	8	230	2016/02/29:22:20:49	2298	2.5099578602620086E-6	361044.71462882066
4	50	1	9	230	2016/02/29:22:21:24	2298	0.003481933983406112	314317.71676855895
8	100	10	0	230	2016/02/29:23:00:38	2301	0.0	0.0
8	100	9	1	230	2016/02/29:23:01:13	2298	0.0	0.0
8	100	0	10	230	2016/02/29:23:06:33	2300	2.419700799999999	0.0
8	100	8	2	230	2016/02/29:23:01:49	2300	0.0	0.0
8	100	7	3	230	2016/02/29:23:02:25	2300	0.0	0.0
8	100	6	4	230	2016/02/29:23:03:00	2300	0.0	0.0
8	100	5	5	230	2016/02/29:23:03:36	2300	0.0	0.0
8	100	4	6	230	2016/02/29:23:04:11	2300	0.0	0.0
8	100	3	7	230	2016/02/29:23:04:46	2300	0.0	0.0
8	100	2	8	230	2016/02/29:23:05:22	2300	0.0	0.0
8	100	1	9	230	2016/02/29:23:05:57	2300	0.0	0.0
8	1000	10	0	230	2016/02/29:23:07:09	2300	0.0	0.0
8	1000	9	1	230	2016/02/29:23:07:45	2300	0.0	0.0
8	1000	0	10	230	2016/02/29:23:13:05	2300	2.846025800000001	0.0
8	1000	8	2	230	2016/02/29:23:08:21	2300	0.0	0.0
8	1000	7	3	230	2016/02/29:23:08:56	2300	0.0	0.0
8	1000	6	4	230	2016/02/29:23:09:32	2300	0.0	0.0
8	1000	5	5	230	2016/02/29:23:10:07	2300	0.0	0.0
8	1000	4	6	230	2016/02/29:23:10:43	2300	0.0	0.0
8	1000	3	7	230	2016/02/29:23:11:18	2300	0.0	0.0
8	1000	2	8	230	2016/02/29:23:11:53	2300	0.0	0.0
8	1000	1	9	230	2016/02/29:23:12:29	2300	0.0	0.0
8	10000	10	0	230	2016/02/29:23:13:40	2300	3.2127906999999993	0.0
8	10000	9	1	230	2016/02/29:23:14:16	2300	3.138666600000001	0.0
8	10000	0	10	230	2016/02/29:23:19:34	2300	3.3638969999999997	0.0
8	10000	8	2	230	2016/02/29:23:14:51	2300	3.2650500999999994	0.0
8	10000	7	3	230	2016/02/29:23:15:27	2297	3.021570262008735	0.0
8	10000	6	4	230	2016/02/29:23:16:02	2300	2.9825153	0.0
8	10000	5	5	230	2016/02/29:23:16:37	2300	3.188363899999998	0.0
8	10000	4	6	230	2016/02/29:23:17:12	2300	3.323553299999999	0.0
8	10000	3	7	230	2016/02/29:23:17:47	2297	3.322806082969431	0.0
8	10000	2	8	230	2016/02/29:23:18:23	2300	3.3862516	0.0
8	10000	1	9	230	2016/02/29:23:18:58	2300	3.8194722999999997	0.0
8	100000	10	0	230	2016/02/29:23:20:10	2300	3.6283178999999985	0.0
8	100000	9	1	230	2016/02/29:23:20:46	2300	3.6947807000000004	0.0
8	100000	0	10	230	2016/02/29:23:26:05	2300	3.752215600000001	0.0
8	100000	8	2	230	2016/02/29:23:21:21	2300	3.6503425000000016	0.0
8	100000	7	3	230	2016/02/29:23:21:57	2300	3.6022305999999986	0.0
8	100000	6	4	230	2016/02/29:23:22:32	2300	3.5139122999999994	0.0
8	100000	5	5	230	2016/02/29:23:23:07	2300	3.703982700000001	0.0
8	100000	4	6	230	2016/02/29:23:23:43	2299	3.6978232925764183	0.0
8	100000	3	7	230	2016/02/29:23:24:18	2300	3.7838687999999996	0.0
8	100000	2	8	230	2016/02/29:23:24:54	2299	3.803325899563317	0.0
8	100000	1	9	230	2016/02/29:23:25:29	2298	3.8303565240174686	0.0
8	1000000	10	0	230	2016/02/29:23:26:41	2300	3.8025095000000015	0.0
8	1000000	9	1	230	2016/02/29:23:27:17	2300	3.6366089999999986	0.0
8	1000000	0	10	230	2016/02/29:23:32:36	2296	3.8071859825327556	0.0
8	1000000	8	2	230	2016/02/29:23:27:52	2300	3.7718588999999976	0.0
8	1000000	7	3	230	2016/02/29:23:28:28	2300	3.6979253999999995	0.0
8	1000000	6	4	230	2016/02/29:23:29:04	2300	3.6436683000000007	0.0
8	1000000	5	5	230	2016/02/29:23:29:39	2300	3.6954268000000017	0.0
8	1000000	4	6	230	2016/02/29:23:30:14	2300	3.701192600000004	0.0
8	1000000	3	7	230	2016/02/29:23:30:49	2296	3.7500284716157215	0.0
8	1000000	2	8	230	2016/02/29:23:31:24	2300	3.6664077999999996	0.0
8	1000000	1	9	230	2016/02/29:23:32:00	2300	3.8630612000000015	0.0
8	50	10	0	230	2016/02/29:22:54:06	2300	0.0	0.0
8	50	9	1	230	2016/02/29:22:54:42	2300	0.0	0.0
8	50	0	10	230	2016/02/29:23:00:01	2300	2.220294239999999	0.0
8	50	8	2	230	2016/02/29:22:55:17	2300	0.0	0.0
8	50	7	3	230	2016/02/29:22:55:53	2300	0.0	0.0
8	50	6	4	230	2016/02/29:22:56:28	2300	0.0	0.0
8	50	5	5	230	2016/02/29:22:57:04	2300	0.0	0.0
8	50	4	6	230	2016/02/29:22:57:39	2300	0.0	0.0
8	50	3	7	230	2016/02/29:22:58:14	2300	0.0	0.0
8	50	2	8	230	2016/02/29:22:58:50	2300	0.0	0.0
8	50	1	9	230	2016/02/29:22:59:25	2300	0.0	0.0

