RUN_TYPE	TABLESIZE	RMWS	READS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
4	100	10	0	12	2016/02/29:22:21:19	116	0.0652332	519561.7090909091
4	100	9	1	12	2016/02/29:22:21:48	116	0.06299014909090908	535390.6909090909
4	100	0	10	12	2016/02/29:22:25:21	48	1.353186	0.0
4	100	8	2	12	2016/02/29:22:22:04	36	0.0	426162.80000000005
4	100	7	3	12	2016/02/29:22:22:34	117	0.06989867999999999	521847.05454545456
4	100	6	4	12	2016/02/29:22:23:03	118	0.06719445818181818	495731.890909091
4	100	5	5	12	2016/02/29:22:23:32	116	0.10937980363636365	465012.54545454547
4	100	4	6	12	2016/02/29:22:24:01	109	0.15277439999999998	423155.04
4	100	3	7	12	2016/02/29:22:24:24	84	0.22354020000000002	340686.0
4	100	2	8	12	2016/02/29:22:24:45	60	0.36102660000000003	234345.40000000002
4	100	1	9	12	2016/02/29:22:25:02	36	0.6267456	87659.4
4	1000	10	0	12	2016/02/29:22:25:35	12	1.2160199999999999	26447.879999999997
4	1000	9	1	12	2016/02/29:22:25:49	12	1.238076	27834.0
4	1000	0	10	12	2016/02/29:22:28:24	116	3.3262941818181817	0.0
4	1000	8	2	12	2016/02/29:22:26:03	12	1.2423000000000002	26700.0
4	1000	7	3	12	2016/02/29:22:26:17	12	1.2909359999999999	27053.879999999997
4	1000	6	4	12	2016/02/29:22:26:31	12	1.347852	22566.0
4	1000	5	5	12	2016/02/29:22:26:45	12	1.424184	21132.0
4	1000	4	6	12	2016/02/29:22:27:00	12	1.495272	14537.880000000001
4	1000	3	7	12	2016/02/29:22:27:15	24	1.906854	35258.856
4	1000	2	8	12	2016/02/29:22:27:31	24	2.064	5825.994000000001
4	1000	1	9	12	2016/02/29:22:27:54	72	2.8820999999999994	2627.142857142857
4	10000	10	0	12	2016/02/29:22:28:53	116	2.8647818181818185	847.6357090909094
4	10000	9	1	12	2016/02/29:22:29:22	119	2.9814458181818186	735.8176363636366
4	10000	0	10	12	2016/02/29:22:33:41	119	3.6189087272727276	0.0
4	10000	8	2	12	2016/02/29:22:29:51	118	2.9380625454545455	673.6354909090909
4	10000	7	3	12	2016/02/29:22:30:20	116	3.0370778181818183	857.4535636363639
4	10000	6	4	12	2016/02/29:22:30:49	110	3.017235272727272	753.2718545454545
4	10000	5	5	12	2016/02/29:22:31:18	116	3.0825829090909087	604.9081090909091
4	10000	4	6	12	2016/02/29:22:31:46	119	3.201544363636364	447.8177454545454
4	10000	3	7	12	2016/02/29:22:32:15	118	3.2673850909090913	329.99967272727275
4	10000	2	8	12	2016/02/29:22:32:44	116	3.335727272727273	193.09088727272726
4	10000	1	9	12	2016/02/29:22:33:13	109	3.4301111999999994	35.3999748
4	100000	10	0	12	2016/02/29:22:34:10	116	2.925325090909091	2.7272683636363637
4	100000	9	1	12	2016/02/29:22:34:39	118	2.962489090909091	19.090896
4	100000	0	10	12	2016/02/29:22:38:58	118	3.498252	0.0
4	100000	8	2	12	2016/02/29:22:35:08	120	3.015474	4.499997
4	100000	7	3	12	2016/02/29:22:35:37	117	2.988148363636364	7.636359272727272
4	100000	6	4	12	2016/02/29:22:36:06	109	3.0438347999999995	5.9999976
4	100000	5	5	12	2016/02/29:22:36:34	119	3.1209752727272724	7.090908000000001
4	100000	4	6	12	2016/02/29:22:37:03	117	3.1240952727272733	1.090908
4	100000	3	7	12	2016/02/29:22:37:32	119	3.226755272727272	14.727250909090909
4	100000	2	8	12	2016/02/29:22:38:01	109	3.3225048	4.799988
4	100000	1	9	12	2016/02/29:22:38:30	109	3.3851340000000003	0.0
4	1000000	10	0	12	2016/02/29:22:39:27	119	2.3257625454545456	0.0
4	1000000	9	1	12	2016/02/29:22:39:56	116	2.370063272727273	0.0
4	1000000	0	10	12	2016/02/29:22:44:17	118	2.6837389090909083	0.0
4	1000000	8	2	12	2016/02/29:22:40:25	118	2.406619636363636	0.0
4	1000000	7	3	12	2016/02/29:22:40:54	118	2.447260363636364	0.0
4	1000000	6	4	12	2016/02/29:22:41:23	116	2.463033818181818	0.0
4	1000000	5	5	12	2016/02/29:22:41:52	117	2.5101447272727277	0.0
4	1000000	4	6	12	2016/02/29:22:42:21	118	2.5523476363636366	0.0
4	1000000	3	7	12	2016/02/29:22:42:50	116	2.5958574545454542	0.0
4	1000000	2	8	12	2016/02/29:22:43:19	118	2.631509454545454	0.0
4	1000000	1	9	12	2016/02/29:22:43:48	118	2.6506538181818184	0.0
4	50	10	0	12	2016/02/29:22:16:10	96	0.0	447830.79999999993
4	50	9	1	12	2016/02/29:22:16:38	96	0.0	508836.5333333333
4	50	0	10	12	2016/02/29:22:20:48	108	1.20157896	0.0
4	50	8	2	12	2016/02/29:22:17:08	114	5.454519272727272E-6	478001.3454545456
4	50	7	3	12	2016/02/29:22:17:31	72	0.0030951257142857146	599878.8
4	50	6	4	12	2016/02/29:22:18:02	118	0.005091238690909092	536338.1454545454
4	50	5	5	12	2016/02/29:22:18:23	72	0.0	415418.74285714293
4	50	4	6	12	2016/02/29:22:18:54	109	0.006587952000000001	415175.6399999999
4	50	3	7	12	2016/02/29:22:19:23	118	0.04580417454545454	418674.54545454547
4	50	2	8	12	2016/02/29:22:19:51	116	0.1163407418181818	339821.1272727272
4	50	1	9	12	2016/02/29:22:20:20	116	0.325944	194557.74545454545
8	100	10	0	12	2016/02/29:22:50:30	118	0.5946081818181818	0.0
8	100	9	1	12	2016/02/29:22:51:01	118	0.6034598181818182	0.0
8	100	0	10	12	2016/02/29:22:55:40	118	2.1264752727272724	0.0
8	100	8	2	12	2016/02/29:22:51:32	117	0.6083710909090909	0.0
8	100	7	3	12	2016/02/29:22:52:03	118	0.648151090909091	0.0
8	100	6	4	12	2016/02/29:22:52:34	119	0.681781090909091	0.0
8	100	5	5	12	2016/02/29:22:53:05	117	0.727187890909091	0.0
8	100	4	6	12	2016/02/29:22:53:36	119	0.8252154545454544	0.0
8	100	3	7	12	2016/02/29:22:54:07	118	0.9486124363636363	0.0
8	100	2	8	12	2016/02/29:22:54:38	118	1.1234850545454544	0.0
8	100	1	9	12	2016/02/29:22:55:09	118	1.5768894545454546	0.0
8	1000	10	0	12	2016/02/29:22:56:12	118	2.0327465454545455	0.0
8	1000	9	1	12	2016/02/29:22:56:43	119	2.043030545454546	0.0
8	1000	0	10	12	2016/02/29:23:01:21	117	2.242450909090909	0.0
8	1000	8	2	12	2016/02/29:22:57:14	118	2.0512429090909094	0.0
8	1000	7	3	12	2016/02/29:22:57:45	118	2.0847894545454544	0.0
8	1000	6	4	12	2016/02/29:22:58:16	119	2.107429090909091	0.0
8	1000	5	5	12	2016/02/29:22:58:46	117	2.110485818181818	0.0
8	1000	4	6	12	2016/02/29:22:59:17	118	2.134473818181818	0.0
8	1000	3	7	12	2016/02/29:22:59:48	118	2.136046909090909	0.0
8	1000	2	8	12	2016/02/29:23:00:19	118	2.1199505454545453	0.0
8	1000	1	9	12	2016/02/29:23:00:50	118	2.1778396363636365	0.0
8	10000	10	0	12	2016/02/29:23:01:53	117	2.0902309090909093	0.0
8	10000	9	1	12	2016/02/29:23:02:24	118	2.090364	0.0
8	10000	0	10	12	2016/02/29:23:07:02	118	2.2549625454545454	0.0
8	10000	8	2	12	2016/02/29:23:02:55	118	2.066432727272727	0.0
8	10000	7	3	12	2016/02/29:23:03:26	118	2.0966105454545456	0.0
8	10000	6	4	12	2016/02/29:23:03:57	117	2.1180643636363636	0.0
8	10000	5	5	12	2016/02/29:23:04:27	118	2.118682909090909	0.0
8	10000	4	6	12	2016/02/29:23:04:58	117	2.1266029090909093	0.0
8	10000	3	7	12	2016/02/29:23:05:29	117	2.145265090909091	0.0
8	10000	2	8	12	2016/02/29:23:06:00	118	2.1597894545454546	0.0
8	10000	1	9	12	2016/02/29:23:06:31	118	2.215107272727273	0.0
8	100000	10	0	12	2016/02/29:23:07:34	118	2.0732541818181818	0.0
8	100000	9	1	12	2016/02/29:23:08:05	109	2.0437643999999997	0.0
8	100000	0	10	12	2016/02/29:23:12:44	118	2.2375898181818177	0.0
8	100000	8	2	12	2016/02/29:23:08:36	117	2.0719309090909093	0.0
8	100000	7	3	12	2016/02/29:23:09:07	119	2.0640032727272732	0.0
8	100000	6	4	12	2016/02/29:23:09:38	118	2.096330181818182	0.0
8	100000	5	5	12	2016/02/29:23:10:08	118	2.0891203636363636	0.0
8	100000	4	6	12	2016/02/29:23:10:39	118	2.087092363636364	0.0
8	100000	3	7	12	2016/02/29:23:11:10	118	2.122565454545455	0.0
8	100000	2	8	12	2016/02/29:23:11:41	118	2.139097090909091	0.0
8	100000	1	9	12	2016/02/29:23:12:12	118	2.1792174545454546	0.0
8	1000000	10	0	12	2016/02/29:23:13:15	117	2.0661152727272727	0.0
8	1000000	9	1	12	2016/02/29:23:13:46	117	2.1015327272727276	0.0
8	1000000	0	10	12	2016/02/29:23:18:26	118	2.1326541818181814	0.0
8	1000000	8	2	12	2016/02/29:23:14:18	118	2.0557680000000005	0.0
8	1000000	7	3	12	2016/02/29:23:14:49	117	2.078900727272727	0.0
8	1000000	6	4	12	2016/02/29:23:15:20	112	2.0469807272727274	0.0
8	1000000	5	5	12	2016/02/29:23:15:50	118	2.0484621818181816	0.0
8	1000000	4	6	12	2016/02/29:23:16:21	118	2.0544992727272726	0.0
8	1000000	3	7	12	2016/02/29:23:16:52	118	2.07708	0.0
8	1000000	2	8	12	2016/02/29:23:17:24	118	2.0537225454545456	0.0
8	1000000	1	9	12	2016/02/29:23:17:55	118	2.0884069090909088	0.0
8	50	10	0	12	2016/02/29:22:44:48	118	0.4424012727272727	0.0
8	50	9	1	12	2016/02/29:22:45:19	118	0.44437363636363647	0.0
8	50	0	10	12	2016/02/29:22:49:59	118	2.104441090909091	0.0
8	50	8	2	12	2016/02/29:22:45:51	118	0.4588718181818182	0.0
8	50	7	3	12	2016/02/29:22:46:21	118	0.4702718181818182	0.0
8	50	6	4	12	2016/02/29:22:46:52	118	0.50124	0.0
8	50	5	5	12	2016/02/29:22:47:23	118	0.5193196363636363	0.0
8	50	4	6	12	2016/02/29:22:47:54	119	0.5513023636363636	0.0
8	50	3	7	12	2016/02/29:22:48:25	118	0.6340778181818181	0.0
8	50	2	8	12	2016/02/29:22:48:56	118	0.7529334545454546	0.0
8	50	1	9	12	2016/02/29:22:49:27	118	1.0759292727272725	0.0

