RUN_TYPE	TABLESIZE	RMWS	NORMALOPS	WORKERS	RESULT_TIMESTAMP	REPORTS	MTPS	ABORTS_PER_SEC
14	1	1	0	230	2016/03/08:12:21:24	2298	0.09338588157205238	36716.1067045415
14	1	1	10	230	2016/03/08:12:22:45	2297	0.04728109497816593	20217.09390829693
14	1	1	20	230	2016/03/08:12:23:29	2296	0.027139693668122265	13211.481222707425
14	1	1	50	230	2016/03/08:12:24:16	2295	0.011852981200873358	4331.705602620084
14	1	1	5	230	2016/03/08:12:22:05	2298	0.07794134943231437	31742.436094716155
14	2	2	10	230	2016/03/08:12:26:16	2299	0.0	89859.30362445416
14	2	2	0	230	2016/03/08:12:24:54	2299	0.0	157022.7034061135
14	2	2	20	230	2016/03/08:12:27:00	2297	0.0	54342.04475982534
14	2	2	50	230	2016/03/08:12:27:46	2298	0.0	24935.42790393012
14	2	2	5	230	2016/03/08:12:25:35	2298	0.0	123972.30200873368
14	3	3	10	230	2016/03/08:12:29:49	2297	0.0	111427.87401746729
14	3	3	20	230	2016/03/08:12:30:32	2298	0.0	68400.0977292576
14	3	3	0	230	2016/03/08:12:28:26	2297	7.528673362445414E-6	223745.99165938856
14	3	3	50	230	2016/03/08:12:31:19	2296	0.0	28725.51454148471
14	3	3	5	230	2016/03/08:12:29:07	2298	0.0	159898.30301310043
14	4	4	10	230	2016/03/08:12:33:22	2298	0.0	146237.76235807856
14	4	4	20	230	2016/03/08:12:34:07	2299	1.0035944541484715E-6	79214.68065502186
14	4	4	0	230	2016/03/08:12:31:58	2298	0.0	266562.89611353725
14	4	4	50	230	2016/03/08:12:34:54	2297	0.0	31252.98152838427
14	4	4	5	230	2016/03/08:12:32:40	2296	0.0	183142.53388646297
18	1	1	0	230	2016/03/08:12:49:48	2300	0.09216149899999984	0.0
18	1	1	10	230	2016/03/08:12:51:08	2299	0.010438878628820973	0.0
18	1	1	20	230	2016/03/08:12:51:57	2298	0.007743660790393014	0.0
18	1	1	50	230	2016/03/08:12:53:07	2284	0.005798419942982444	0.0
18	1	1	5	230	2016/03/08:12:50:27	2290	0.05776766365502183	0.0
18	2	2	10	230	2016/03/08:12:55:04	2299	0.046214417248908395	0.0
18	2	2	0	230	2016/03/08:12:53:44	2294	0.0869966061135374	0.0
18	2	2	20	230	2016/03/08:12:55:53	2299	0.007274628820960705	0.0
18	2	2	50	230	2016/03/08:12:57:04	2299	0.0059910444192139665	0.0
18	2	2	5	230	2016/03/08:12:54:22	2285	0.06610482254385953	0.0
18	3	3	10	230	2016/03/08:12:59:03	2299	0.046112489082969436	0.0
18	3	3	20	230	2016/03/08:12:59:52	2299	0.007011482205240188	0.0
18	3	3	0	230	2016/03/08:12:57:41	2292	0.07814453283842765	0.0
18	3	3	50	230	2016/03/08:13:01:03	2281	0.0058987938596491134	0.0
18	3	3	5	230	2016/03/08:12:58:20	2299	0.03064323124017466	0.0
18	4	4	10	230	2016/03/08:13:03:04	2299	0.009665018419213968	0.0
18	4	4	20	230	2016/03/08:13:03:54	2299	0.007566393061135361	0.0
18	4	4	0	230	2016/03/08:13:01:41	2298	0.0748624880786024	0.0
18	4	4	50	230	2016/03/08:13:05:06	2277	0.005797620030836991	0.0
18	4	4	5	230	2016/03/08:13:02:21	2296	0.05125233524017462	0.0
