BENCHMARK_NAME	WORKLOAD_NAME	MACHINE	RESULT_FOLDER	FOLDER_TIMESTAMP	STORAGE_TYPE	duration_micro	enable_retrospective_lock_list	extended_rw_lock	extra_table_reads	extra_table_rmws	extra_table_size	fork_workers	hot_threshold	initial_table_size	log_buffer_mb	loggers_per_node	max_scan_length	null_log_device	numa_nodes	ordered_inserts	random_inserts	read_all_fields	reducer_buffer_size	reps_per_tx	rmw_additional_reads	snapshot_pool_size	sort_keys	sort_load_keys	thread_per_node	verify_loaded_data	volatile_pool_size	workload	write_all_fields	zipfian_theta	COMPLETED_RUNS	FAILED_RUNS	MTPS_AVE	MTPS_STDEV	RACE_ABORTS_AVE	RACE_ABORTS_STDEV
ycsb	workloadF	gh	result_ycsb_1467575886	2016/07/03:12:58:06	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	10	0	1	0	0	14	0	16	F	0	0	3	0	6.54175	0.173812367991073	905512	19639.123300188327
ycsb	workloadF	gh	result_ycsb_1467575995	2016/07/03:12:59:55	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	9	1	1	0	0	14	0	16	F	0	0	3	0	6.603713333333334	0.1989473468589523	802938	21588.562342129222
ycsb	workloadF	gh	result_ycsb_1467576105	2016/07/03:13:01:45	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	8	2	1	0	0	14	0	16	F	0	0	3	0	6.964949999999999	0.164628251119532	728253	14296.142346801113
ycsb	workloadF	gh	result_ycsb_1467576214	2016/07/03:13:03:34	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	7	3	1	0	0	14	0	16	F	0	0	3	0	7.176343333333333	0.19693035356584934	643275	17006.337054168955
ycsb	workloadF	gh	result_ycsb_1467576323	2016/07/03:13:05:23	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	6	4	1	0	0	14	0	16	F	0	0	3	0	7.655963333333333	0.25170354259634026	568954	17074.349240893487
ycsb	workloadF	gh	result_ycsb_1467576433	2016/07/03:13:07:13	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	5	5	1	0	0	14	0	16	F	0	0	3	0	8.281173333333333	0.10030730326791687	498482	5747.4321995901355
ycsb	workloadF	gh	result_ycsb_1467576543	2016/07/03:13:09:03	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	4	6	1	0	0	14	0	16	F	0	0	3	0	8.780893333333333	0.1664429957139361	411183	6747.1803658184135
ycsb	workloadF	gh	result_ycsb_1467576654	2016/07/03:13:10:54	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	3	7	1	0	0	14	0	16	F	0	0	3	0	9.734086666666665	0.07437713104334417	332154	2620.2581721817983
ycsb	workloadF	gh	result_ycsb_1467576764	2016/07/03:13:12:44	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	2	8	1	0	0	14	0	16	F	0	0	3	0	10.993466666666668	0.06343817637837651	244130	1543.051054099394
ycsb	workloadF	gh	result_ycsb_1467576874	2016/07/03:13:14:34	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	1	9	1	0	0	14	0	16	F	0	0	3	0	12.786466666666668	0.40214354264228436	137653	4572.41743744175
ycsb	workloadF	gh	result_ycsb_1467576983	2016/07/03:13:16:23	hash	10000000	1	1	0	0	0	true	10	1000000	512	2	1000	true	16	0	0	0	1	0	10	1	0	0	14	0	16	F	0	0	3	0	17.16496666666667	0.028002896674206378	0	0.0
